iter	MultiClass
129	1.330137686
130	1.326375624
131	1.320852807
132	1.316919013
133	1.311164253
134	1.30699251
135	1.301151237
136	1.296230805
137	1.287688814
138	1.283328628
139	1.278788392
140	1.272250196
141	1.267481846
142	1.264890533
143	1.258512352
144	1.254469375
145	1.249051062
146	1.245588496
147	1.238240412
148	1.233481803
149	1.228349336
150	1.225086708
151	1.219767774
152	1.217064049
153	1.214011126
154	1.210736898
155	1.206472674
156	1.201014253
157	1.197975893
158	1.194789428
159	1.190317026
160	1.186143699
161	1.181581756
162	1.178658917
163	1.176315225
164	1.17396403
165	1.171928527
166	1.168270043
167	1.165600892
168	1.161657062
169	1.158415407
170	1.155538604
171	1.152020987
172	1.146890818
173	1.143211475
174	1.139305136
175	1.134308039
176	1.129870317
177	1.126358998
178	1.12177659
179	1.11891163
180	1.115805449
181	1.111990007
182	1.108143827
183	1.103518104
184	1.101736281
185	1.097858353
186	1.095147023
187	1.091138512
188	1.087650135
189	1.085576752
190	1.08253249
191	1.080003602
192	1.077571748
193	1.073138229
194	1.069141618
195	1.066557729
196	1.064031469
197	1.061424868
198	1.056716008
199	1.052101437
200	1.050329676
201	1.048022845
202	1.044823085
203	1.043116537
204	1.039348153
205	1.035970427
206	1.032203443
207	1.029652785
208	1.025141787
209	1.022974163
210	1.020464679
211	1.016510558
212	1.014292278
213	1.011953513
214	1.00982574
215	1.006608178
216	1.003163002
217	1.000096036
218	0.9961622491
219	0.9942963754
220	0.9908923551
221	0.9887064905
222	0.985312672
223	0.9841598535
224	0.9818104515
225	0.980212871
226	0.9767582829
227	0.9741981766
228	0.9711684169
229	0.967341412
230	0.9639155894
231	0.9618247671
232	0.9591821242
233	0.9551840986
234	0.9517491519
235	0.9493515312
236	0.9469293038
237	0.9439663197
238	0.9416903768
239	0.9391690651
240	0.936769392
241	0.9341549468
242	0.9320617563
243	0.9303755819
244	0.9274050745
245	0.9232958918
246	0.9210907822
247	0.918693264
248	0.9168867244
249	0.9141903884
250	0.9112635021
251	0.9081859329
252	0.9056704183
253	0.9033090595
254	0.9002631371
255	0.8978172445
256	0.8957091487
257	0.8927150517
258	0.8888858176
259	0.8858298321
260	0.8831801978
261	0.8805400963
262	0.8785577637
263	0.8758060989
264	0.8737082418
265	0.8716688701
266	0.8698585258
267	0.8656627429
268	0.8633439539
269	0.861588352
270	0.8591087008
271	0.8566673701
272	0.8543057836
273	0.8524384833
274	0.8500504304
275	0.8479967204
276	0.8455628295
277	0.8437685962
278	0.8407516572
279	0.8386184329
280	0.8371709438
281	0.8344625617
282	0.832347294
283	0.8285876461
284	0.8270469969
285	0.8248238741
286	0.8230094391
287	0.820875947
288	0.8184526084
289	0.8168711952
290	0.8150119164
291	0.8129918717
292	0.811075812
293	0.8101159529
294	0.8081286929
295	0.8069010501
296	0.8046719289
297	0.8023868186
298	0.7998217821
299	0.7980854186
300	0.7960396411
301	0.7944686914
302	0.7932024355
303	0.7907057542
304	0.7886845988
305	0.7864173465
306	0.7853444394
307	0.7828719867
308	0.7806525873
309	0.7788592666
310	0.7766540204
311	0.7748118389
312	0.7723024594
313	0.7706240851
314	0.768582835
315	0.7664176028
316	0.7639643544
317	0.7617384669
318	0.7593691103
319	0.7574767532
320	0.7547881441
321	0.7528999897
322	0.7512119782
323	0.7499023205
324	0.74741624
325	0.7456651659
326	0.7435888351
327	0.7409305589
328	0.7402342849
329	0.7378152044
330	0.7350187932
331	0.7330594558
332	0.7305270247
333	0.7281351574
334	0.725979615
335	0.7246659158
336	0.7222853039
337	0.7205068754
338	0.7196343809
339	0.7176968699
340	0.7160992285
341	0.7147465458
342	0.7127263936
343	0.7111296986
344	0.7099605904
345	0.7076851587
346	0.7063338965
347	0.7042247355
348	0.7025693534
349	0.7007717456
350	0.6992827759
351	0.6976011957
352	0.6960530593
353	0.6941522425
354	0.692622285
355	0.6904644695
356	0.6884639921
357	0.6861531281
358	0.6853760514
359	0.6833928641
360	0.6815307576
361	0.6793319679
362	0.6782082857
363	0.6761044925
364	0.6741546992
365	0.672505131
366	0.6709945152
367	0.6689448927
368	0.6670565919
369	0.6654217587
370	0.6644444955
371	0.6629899716
372	0.661003151
373	0.6594974261
374	0.6581989271
375	0.6565892279
376	0.6548440657
377	0.6535088167
378	0.651831512
379	0.6505990503
380	0.6488280575
381	0.6475174685
382	0.6454104928
383	0.6447998087
384	0.6430727161
385	0.6414996407
386	0.640162453
387	0.6381552557
388	0.6366299568
389	0.6353149836
390	0.6342735896
391	0.6325346027
392	0.6312453115
393	0.6294818625
394	0.6279218577
395	0.626626927
396	0.6251819934
397	0.6229081431
398	0.6211923022
399	0.6200174121
400	0.6186033818
401	0.617055107
402	0.6159305739
403	0.6151096471
404	0.6131233171
405	0.6122082469
406	0.6110132984
407	0.6089290271
408	0.6074459864
409	0.6057105132
410	0.6041083875
411	0.6030232832
412	0.6016178136
413	0.6003897583
414	0.5990999682
415	0.5979493611
416	0.5965744777
417	0.5947707871
418	0.5938787138
419	0.5924242693
420	0.591043677
421	0.5899568979
422	0.5886998025
423	0.5875932628
424	0.5859978714
425	0.5841735536
426	0.5831935127
427	0.5812568723
428	0.5798030436
429	0.5787373779
430	0.5777216862
431	0.5759800378
432	0.5745622798
433	0.5731520175
434	0.5717166592
435	0.5704739702
436	0.569077622
437	0.5678982106
438	0.5662812482
439	0.5658105595
440	0.5643095177
441	0.5634252499
442	0.5626745648
443	0.5613499563
444	0.559934856
445	0.558323133
446	0.5567162781
447	0.5556639825
448	0.5543199348
449	0.5536139552
450	0.5523571263
451	0.5511723867
452	0.5498701839
453	0.5485175936
454	0.5471969866
455	0.5459977771
456	0.5448880731
457	0.5433052806
458	0.5421391871
459	0.54102271
460	0.5399160541
461	0.5389619405
462	0.5376791328
463	0.5364676421
464	0.5355465984
465	0.5339848409
466	0.5332006798
467	0.5320950138
468	0.5310746878
469	0.5302089701
470	0.5290649055
471	0.5277790721
472	0.5269812571
473	0.5254766283
474	0.5240756184
475	0.5233898689
476	0.5220486037
477	0.5210347048
478	0.5201686937
479	0.519089182
480	0.5179606951
481	0.5171755588
482	0.5157166188
483	0.5145066275
484	0.5137021306
485	0.5126843803
486	0.511599787
487	0.5102689625
488	0.5092697348
489	0.5081947637
490	0.5068947138
491	0.506086573
492	0.5050553023
493	0.503559452
494	0.5025052128
495	0.5010367118
496	0.5004962639
497	0.4994002188
498	0.4983899611
499	0.4974078711
500	0.4960977745
501	0.4951848604
502	0.4942679938
503	0.4933406295
504	0.4920294251
505	0.4911934736
506	0.4903054427
507	0.4896824837
508	0.4885494467
509	0.4876066294
510	0.4868049486
511	0.4860840042
512	0.4851039314
513	0.4840044701
514	0.4833254064
515	0.4819490048
516	0.4809182249
517	0.479996135
518	0.4792244054
519	0.4785214868
520	0.4772122433
521	0.4762092567
522	0.4750591871
523	0.4742108666
524	0.4734575669
525	0.4723371948
526	0.4708562363
527	0.470308144
528	0.4696681251
529	0.4687156604
530	0.4677785064
531	0.466742629
532	0.4654168886
533	0.4646143696
534	0.4639259439
535	0.4626259993
536	0.4615837291
537	0.4603883994
538	0.4595531255
539	0.4585795105
540	0.457564007
541	0.4564008888
542	0.4553070005
543	0.4541865876
544	0.4528573432
545	0.4520100375
546	0.4509312867
547	0.4503747776
548	0.4495621881
549	0.4485432657
550	0.4477414981
551	0.44690848
552	0.4463568903
553	0.4454567881
554	0.444786413
555	0.4440619721
556	0.4435684404
557	0.4427999029
558	0.4417663787
559	0.4408957377
560	0.4401918696
561	0.4393100653
562	0.4385022351
563	0.4377694046
564	0.4367723621
565	0.4357362024
566	0.4350018687
567	0.4338581467
568	0.4331739299
569	0.4325815967
570	0.431396299
571	0.430190712
572	0.4295542468
573	0.4288658424
574	0.427789531
575	0.4269441166
576	0.4260404437
577	0.4251793045
578	0.4243108162
579	0.4236502403
580	0.4225761
581	0.4215386481
582	0.4209330803
583	0.4200933731
584	0.4193198604
585	0.4185627839
586	0.4177802534
587	0.4172284067
588	0.4167712959
589	0.4160862917
590	0.415670421
591	0.4149755443
592	0.4141919143
593	0.4134608848
594	0.4127117831
595	0.4124217767
596	0.4115556201
597	0.4109099026
598	0.4100795711
599	0.4091321154
600	0.408336768
601	0.407603866
602	0.4069995028
603	0.4061445368
604	0.4053048991
605	0.4046663032
606	0.403804105
607	0.4029411398
608	0.4021836166
609	0.4013012676
610	0.4002218968
611	0.3994803186
612	0.3986660323
613	0.3980319683
614	0.3971479172
615	0.3966407477
616	0.3956905215
617	0.3950570464
618	0.3941186327
619	0.3933162988
620	0.3925020599
621	0.3918506844
622	0.3912782266
623	0.3905834767
624	0.3901306327
625	0.389523111
626	0.388706849
627	0.3880883967
628	0.3875089654
629	0.3867764643
630	0.3862851264
631	0.3857377728
632	0.3850058792
633	0.3844706091
634	0.3839148724
635	0.3831738791
636	0.3823542343
637	0.381587553
638	0.3810984257
639	0.3807268617
640	0.3802605111
641	0.3794754385
642	0.3788270497
643	0.3781444396
644	0.3772901341
645	0.3765911738
646	0.3760926805
647	0.3754076927
648	0.3746943562
649	0.3741701317
650	0.3736566558
651	0.3725797735
652	0.3720745485
653	0.3713873615
654	0.3709611465
655	0.3703042839
656	0.369543894
657	0.3688696385
658	0.3682538501
659	0.3676387262
660	0.3669258493
661	0.3663195463
662	0.3654871743
663	0.3647386334
664	0.3642584677
665	0.3636332214
666	0.3630236005
667	0.362571553
668	0.3617244271
669	0.3609552192
670	0.3603880669
671	0.3597605498
672	0.3590094991
673	0.3584289221
674	0.357936224
675	0.3572873761
676	0.3565807262
677	0.3558265226
678	0.35540531
679	0.354854936
680	0.3543326056
681	0.353592232
682	0.3529747222
683	0.3524019855
684	0.3517088049
685	0.3509907736
686	0.3503258674
687	0.3498881361
688	0.3493474117
689	0.3487262846
690	0.3482709571
691	0.3480339253
692	0.3474110903
693	0.3466352066
694	0.3460459481
695	0.3454616904
696	0.3452071642
697	0.3445610746
698	0.3440786017
699	0.3435203212
700	0.342957842
701	0.3423529856
702	0.341756228
703	0.3411615407
704	0.3404525748
705	0.3397169302
706	0.3391024346
707	0.3383038701
708	0.3377855034
709	0.3373591763
710	0.3368064669
711	0.3363603467
712	0.3356861318
713	0.3351118038
714	0.3345474444
715	0.3340345635
716	0.3333889971
717	0.3326822467
718	0.3322771872
719	0.3316845328
720	0.3313262615
721	0.3307311746
722	0.330268798
723	0.3296821777
724	0.3290776546
725	0.3285910945
726	0.3281051983
727	0.3278109827
728	0.3273558571
729	0.3269344967
730	0.3265298514
731	0.3261305466
732	0.3258545758
733	0.3253608949
734	0.3248288509
735	0.3242192884
736	0.3238424671
737	0.3234521933
738	0.3229534516
739	0.3223730744
740	0.3216350124
741	0.3211670703
742	0.3206733413
743	0.3202707259
744	0.3195903069
745	0.3191562795
746	0.3187000821
747	0.3179753656
748	0.3175066771
749	0.3168141643
750	0.3160835132
751	0.3152753272
752	0.3147070556
753	0.3141971068
754	0.3136523015
755	0.3134199469
756	0.3129608839
757	0.3125216339
758	0.3120282769
759	0.3116149338
760	0.3111918124
761	0.3109288038
762	0.3104319088
763	0.3099456607
764	0.3093696545
765	0.30899459
766	0.3087105016
767	0.3081678402
768	0.3077747569
769	0.3072670075
770	0.3066794682
771	0.306027299
772	0.3053615154
773	0.3051683003
774	0.304742286
775	0.3043947305
776	0.3040426028
777	0.3033431338
778	0.3029210893
779	0.3024886622
780	0.3021583427
781	0.3018629816
782	0.3014437459
783	0.3009565567
784	0.3005706857
785	0.3001593089
786	0.2997183543
787	0.2991906504
788	0.2987712085
789	0.2982511505
790	0.297745722
791	0.2974715726
792	0.2969362352
793	0.2965521451
794	0.2960547322
795	0.2955318107
796	0.2950460593
797	0.2945647509
798	0.2939035867
799	0.2932526404
800	0.2927602221
801	0.2925101757
802	0.2919005184
803	0.2914815252
804	0.2912148426
805	0.2908176407
806	0.290248839
807	0.2898518365
808	0.28948537
809	0.2891258469
810	0.2886948131
811	0.2882384747
812	0.2877928778
813	0.2873923406
814	0.2868669226
815	0.2864737936
816	0.2859355564
817	0.2856006164
818	0.2850411272
819	0.2845127879
820	0.2841736663
821	0.2838420991
822	0.283257765
823	0.2829376624
824	0.2824420202
825	0.2819496707
826	0.2814943904
827	0.2811407773
828	0.2807453794
829	0.2803094439
830	0.2799426595
831	0.2796291667
832	0.2791730826
833	0.2785428244
834	0.2780648505
835	0.27771868
836	0.277310263
837	0.2766699282
838	0.2763732031
839	0.2759960163
840	0.275595122
841	0.2752444381
842	0.2748353467
843	0.2744352721
844	0.2740375434
845	0.2734950457
846	0.2731890342
847	0.2728224042
848	0.2726033602
849	0.2722033614
850	0.271931016
851	0.271539369
852	0.2710264549
853	0.2706321084
854	0.2702415888
855	0.2698679478
856	0.269505446
857	0.2691157857
858	0.2686079535
859	0.2683358044
860	0.2679286201
861	0.2676072475
862	0.2671199349
863	0.2668002832
864	0.2664271123
865	0.266085791
866	0.2657348066
867	0.2654004829
868	0.2651014001
869	0.2646822981
870	0.2642129199
871	0.2639150415
872	0.2635775892
873	0.2631959542
874	0.2627304828
875	0.26232808
876	0.2619835216
877	0.2615226347
878	0.2611343725
879	0.260613879
880	0.2601841424
881	0.2598794988
882	0.2595212955
883	0.259274832
884	0.2589095499
885	0.2585225877
886	0.2582085648
887	0.2578646488
888	0.257624154
889	0.257326725
890	0.2568174394
891	0.2564157099
892	0.2560851369
893	0.2557544684
894	0.25538791
895	0.2550081027
896	0.2545067626
897	0.2541681902
898	0.2538468627
899	0.253456351
900	0.2530075794
901	0.2526350311
902	0.252295955
903	0.2519105758
904	0.2515212806
905	0.2510942683
906	0.2507868536
907	0.25037567
908	0.2500779849
909	0.2497639083
910	0.2493917746
911	0.2490727524
912	0.2487476198
913	0.2483817472
914	0.2479680406
915	0.24752161
916	0.2472600642
917	0.2470835876
918	0.2468213242
919	0.2464870542
920	0.2461940351
921	0.2459193716
922	0.2455348536
923	0.2451643185
924	0.244869256
925	0.2444904527
926	0.2441423257
927	0.2437579189
928	0.243487225
929	0.2432902378
930	0.2429495708
931	0.2425978294
932	0.2421798638
933	0.241627824
934	0.2411898922
935	0.2407485935
936	0.2405277922
937	0.240228218
938	0.239930146
939	0.2396005936
940	0.2392912915
941	0.2391088531
942	0.2388277513
943	0.2387495234
944	0.2383681541
945	0.2381008564
946	0.2377053174
947	0.2374739953
948	0.2371628977
949	0.2367979394
950	0.2364563501
951	0.2363019107
952	0.2361402242
953	0.235786807
954	0.2354840588
955	0.2352445602
956	0.2349505686
957	0.2347407659
958	0.234547957
959	0.2342955936
960	0.2339262879
961	0.2337236127
962	0.2334101245
963	0.2331218867
964	0.2328353975
965	0.2325456906
966	0.2322738491
967	0.231946028
968	0.231660686
969	0.2313701057
970	0.230943251
971	0.2305770085
972	0.2301779307
973	0.2297490222
974	0.2294491305
975	0.2290497044
976	0.2287481747
977	0.2285170729
978	0.2282367971
979	0.2278919384
980	0.2276548881
981	0.2272968996
982	0.2271107703
983	0.2269074029
984	0.2266258586
985	0.2263793096
986	0.226086793
987	0.2258196641
988	0.225532622
989	0.2252851713
990	0.2250307
991	0.2248231557
992	0.2245379099
993	0.2242848116
994	0.2240499558
995	0.2235704122
996	0.2233492029
997	0.223026831
998	0.2227098922
999	0.2225068594
